user_id,gender,age,age_group,body_type,region,past_purchase_history,browsing_data,accessory_type,season,footwear_type,brand,color,style,outfit_id
27,Other,53,senior,Average,South,"['shoe', 'jacket', 'pant', 'hat', 'shirt']",ProductE,sunglasses,Summer,sandals,BrandD,Green,Casual,27
28,Male,42,young,Athletic,North,"['hat', 'shirt', 'pant', 'shoe']",ProductA,watch,Summer,sneakers,BrandD,Green,Formal,28
29,Male,41,senior,Athletic,South,"['shoe', 'hat', 'shirt']",ProductC,sunglasses,Summer,flats,BrandB,Green,Sporty,29
30,Male,24,middle-aged,Athletic,West,"['jacket', 'pant', 'shirt', 'shoe', 'hat']",ProductB,watch,Winter,boots,BrandD,Red,Elegant,30
31,Male,66,young,Athletic,West,"['jacket', 'pant', 'shirt', 'hat', 'shoe']",ProductA,belt,Autumn,sneakers,BrandC,Red,Elegant,31
32,Male,35,senior,Average,East,"['shirt', 'jacket', 'hat', 'shoe', 'pant']",ProductC,necklace,Spring,heels,BrandB,Green,Formal,32
33,Female,59,middle-aged,Average,South,"['shirt', 'hat', 'shoe']",ProductB,sunglasses,Spring,sandals,BrandA,Red,Sporty,33
34,Other,41,middle-aged,Heavy,South,"['hat', 'shoe']",ProductB,belt,Winter,sneakers,BrandD,Green,Elegant,34
35,Male,33,middle-aged,Heavy,East,['shoe'],ProductC,necklace,Summer,sandals,BrandA,Green,Formal,35
36,Male,34,senior,Average,East,"['shirt', 'hat', 'jacket', 'pant']",ProductE,watch,Summer,flats,BrandC,Blue,Sporty,36
37,Male,32,senior,Athletic,East,"['pant', 'hat', 'shoe', 'jacket']",ProductA,necklace,Summer,heels,BrandA,Blue,Elegant,37
38,Male,42,middle-aged,Average,East,"['hat', 'pant', 'shirt', 'jacket', 'shoe']",ProductC,belt,Winter,sneakers,BrandA,Red,Formal,38
39,Male,50,senior,Slim,East,['hat'],ProductE,sunglasses,Winter,sneakers,BrandB,White,Elegant,39
40,Male,24,middle-aged,Average,North,"['shoe', 'hat', 'shirt', 'jacket', 'pant']",ProductC,sunglasses,Autumn,heels,BrandC,Red,Elegant,40
41,Male,35,middle-aged,Slim,West,['shirt'],ProductB,belt,Spring,sandals,BrandB,Black,Formal,41
42,Other,27,young,Slim,East,"['pant', 'hat']",ProductC,sunglasses,Summer,flats,BrandB,Blue,Elegant,42
43,Other,21,young,Heavy,South,"['shoe', 'pant']",ProductD,watch,Winter,sandals,BrandD,Red,Casual,43
44,Other,43,middle-aged,Athletic,East,"['shirt', 'pant', 'jacket']",ProductB,necklace,Winter,sandals,BrandA,Black,Casual,44
45,Female,60,senior,Heavy,North,"['jacket', 'shoe', 'pant', 'shirt']",ProductC,belt,Summer,flats,BrandB,Green,Casual,45
46,Female,33,senior,Average,West,['shoe'],ProductB,watch,Spring,sandals,BrandD,Green,Casual,46
47,Other,48,young,Heavy,South,"['pant', 'shirt', 'hat']",ProductB,necklace,Summer,sandals,BrandA,Green,Elegant,47
48,Female,28,senior,Athletic,North,"['shirt', 'shoe', 'hat']",ProductE,bracelet,Spring,sneakers,BrandA,White,Sporty,48
49,Other,40,middle-aged,Average,South,"['shoe', 'shirt']",ProductE,belt,Autumn,boots,BrandD,Black,Elegant,49
50,Male,35,young,Slim,North,"['jacket', 'pant']",ProductA,necklace,Winter,sandals,BrandA,Green,Elegant,50
51,Male,51,senior,Heavy,North,"['hat', 'pant']",ProductC,belt,Summer,sneakers,BrandC,Black,Casual,51
52,Female,56,middle-aged,Athletic,North,"['pant', 'shoe', 'jacket']",ProductB,sunglasses,Autumn,flats,BrandA,Blue,Sporty,52
53,Male,36,senior,Average,West,"['shirt', 'jacket', 'shoe', 'pant', 'hat']",ProductE,sunglasses,Winter,heels,BrandC,Red,Formal,53
54,Other,26,senior,Slim,South,['shirt'],ProductC,necklace,Summer,heels,BrandD,White,Formal,54
55,Female,66,middle-aged,Heavy,West,"['shirt', 'jacket', 'hat', 'shoe', 'pant']",ProductC,necklace,Winter,sneakers,BrandD,White,Sporty,55
56,Other,21,young,Athletic,East,"['shoe', 'hat', 'jacket']",ProductE,bracelet,Summer,sandals,BrandA,Black,Formal,56
57,Male,50,senior,Average,East,"['pant', 'hat']",ProductA,belt,Autumn,flats,BrandA,Red,Casual,57
58,Female,28,middle-aged,Average,East,"['shoe', 'pant', 'hat', 'shirt']",ProductE,belt,Summer,sandals,BrandA,Black,Casual,58
59,Female,23,middle-aged,Heavy,East,"['hat', 'jacket', 'shirt']",ProductE,bracelet,Spring,sneakers,BrandC,Green,Sporty,59
60,Male,18,young,Slim,South,"['shirt', 'shoe', 'hat', 'jacket', 'pant']",ProductD,necklace,Autumn,sneakers,BrandA,White,Elegant,60
61,Other,26,senior,Slim,North,"['shirt', 'shoe', 'pant', 'jacket', 'hat']",ProductB,belt,Summer,heels,BrandA,Green,Formal,61
62,Other,22,middle-aged,Athletic,West,['hat'],ProductD,belt,Winter,sneakers,BrandB,Blue,Formal,62
63,Other,17,young,Slim,South,"['shirt', 'shoe', 'hat', 'jacket', 'pant']",ProductE,watch,Spring,boots,BrandD,Blue,Sporty,63
64,Male,26,senior,Athletic,West,"['shirt', 'jacket']",ProductB,watch,Summer,sneakers,BrandD,Red,Sporty,64
65,Other,61,middle-aged,Slim,South,"['jacket', 'hat', 'pant', 'shirt']",ProductD,watch,Spring,flats,BrandD,Green,Formal,65
66,Other,47,young,Heavy,North,"['shoe', 'hat', 'shirt', 'jacket']",ProductA,sunglasses,Summer,flats,BrandD,Red,Sporty,66
67,Female,57,middle-aged,Athletic,West,"['shirt', 'pant', 'jacket']",ProductA,belt,Summer,boots,BrandC,Black,Elegant,67
68,Male,53,senior,Athletic,West,"['pant', 'hat', 'jacket']",ProductD,belt,Summer,sandals,BrandC,Black,Sporty,68
69,Female,49,young,Heavy,North,"['shoe', 'hat']",ProductB,necklace,Spring,sandals,BrandB,Red,Sporty,69
70,Other,39,senior,Average,West,"['hat', 'shirt', 'shoe', 'pant']",ProductE,watch,Spring,sneakers,BrandB,Black,Casual,70
71,Other,53,senior,Average,West,"['jacket', 'shirt', 'pant', 'hat']",ProductA,sunglasses,Spring,heels,BrandB,White,Elegant,71
72,Female,36,senior,Average,West,"['shirt', 'jacket', 'pant']",ProductE,watch,Spring,sandals,BrandD,White,Elegant,72
73,Other,24,senior,Slim,West,"['pant', 'hat', 'shirt', 'jacket']",ProductA,watch,Autumn,flats,BrandB,Green,Casual,73
74,Male,44,senior,Average,South,['jacket'],ProductC,sunglasses,Winter,sneakers,BrandD,White,Elegant,74
75,Female,59,senior,Athletic,West,"['pant', 'jacket', 'hat', 'shoe', 'shirt']",ProductB,belt,Winter,boots,BrandA,Red,Sporty,75
76,Other,67,senior,Slim,South,"['hat', 'shirt', 'pant']",ProductE,necklace,Summer,flats,BrandC,Blue,Elegant,76
77,Male,15,young,Average,North,"['shirt', 'jacket', 'pant']",ProductC,belt,Summer,heels,BrandD,Black,Formal,77
78,Female,56,middle-aged,Average,West,"['pant', 'hat', 'shirt']",ProductC,belt,Spring,sneakers,BrandC,White,Sporty,78
79,Male,33,middle-aged,Slim,East,"['jacket', 'shoe', 'pant']",ProductC,bracelet,Winter,heels,BrandD,Blue,Casual,79
80,Male,57,middle-aged,Athletic,South,"['shoe', 'shirt', 'pant']",ProductA,necklace,Autumn,sneakers,BrandA,White,Elegant,80
81,Male,20,middle-aged,Average,East,"['jacket', 'pant', 'hat']",ProductD,watch,Spring,flats,BrandA,Red,Sporty,81
82,Female,54,middle-aged,Slim,West,"['hat', 'jacket', 'shoe', 'shirt']",ProductB,belt,Autumn,sneakers,BrandC,Black,Elegant,82
83,Male,27,young,Heavy,North,"['shoe', 'pant']",ProductA,necklace,Winter,sneakers,BrandD,Blue,Elegant,83
84,Female,43,young,Heavy,East,"['shirt', 'shoe', 'jacket']",ProductE,necklace,Autumn,flats,BrandB,Black,Casual,84
85,Male,28,senior,Heavy,West,['shirt'],ProductE,sunglasses,Spring,heels,BrandA,Red,Casual,85
86,Male,54,middle-aged,Athletic,South,"['jacket', 'hat', 'pant']",ProductD,sunglasses,Summer,boots,BrandB,Blue,Elegant,86
87,Other,18,middle-aged,Athletic,West,"['shoe', 'pant']",ProductC,necklace,Summer,sneakers,BrandD,Green,Sporty,87
88,Female,57,senior,Heavy,West,['jacket'],ProductA,sunglasses,Winter,sandals,BrandA,Blue,Formal,88
89,Male,64,young,Slim,North,"['jacket', 'hat', 'shirt', 'pant', 'shoe']",ProductE,watch,Autumn,boots,BrandB,Black,Casual,89
90,Male,23,senior,Average,West,"['shoe', 'hat', 'jacket', 'shirt', 'pant']",ProductA,bracelet,Summer,sneakers,BrandA,Blue,Sporty,90
91,Female,43,middle-aged,Athletic,East,['shoe'],ProductD,bracelet,Spring,heels,BrandC,Blue,Sporty,91
92,Other,46,senior,Average,West,"['shirt', 'jacket', 'hat']",ProductA,necklace,Autumn,sneakers,BrandA,Black,Casual,92
93,Other,32,young,Average,North,"['pant', 'shoe', 'jacket', 'shirt']",ProductE,bracelet,Spring,sandals,BrandB,Black,Casual,93
94,Female,59,senior,Average,North,"['shirt', 'jacket', 'hat', 'pant']",ProductA,watch,Winter,sneakers,BrandB,Blue,Casual,94
95,Female,62,young,Slim,South,"['shoe', 'hat', 'pant', 'shirt']",ProductB,belt,Autumn,sandals,BrandB,Black,Elegant,95
96,Male,60,young,Slim,East,['hat'],ProductE,bracelet,Summer,sneakers,BrandB,Red,Elegant,96
97,Male,37,young,Athletic,North,"['shoe', 'pant', 'shirt']",ProductB,necklace,Winter,sandals,BrandA,Blue,Casual,97
98,Male,67,senior,Heavy,East,"['hat', 'shoe', 'shirt', 'pant']",ProductC,belt,Summer,sneakers,BrandA,Blue,Casual,98
99,Female,61,middle-aged,Average,South,"['shoe', 'shirt']",ProductC,necklace,Summer,boots,BrandB,Red,Elegant,99
100,Male,53,middle-aged,Heavy,West,"['pant', 'shoe', 'hat', 'jacket']",ProductC,bracelet,Summer,sandals,BrandC,Blue,Sporty,100
101,Female,29,middle-aged,Heavy,East,"['shirt', 'pant', 'hat', 'jacket']",ProductC,sunglasses,Spring,flats,BrandB,Green,Elegant,101
102,Other,27,middle-aged,Athletic,North,"['shirt', 'jacket', 'shoe', 'hat']",ProductB,bracelet,Autumn,heels,BrandD,White,Elegant,102
103,Female,19,young,Athletic,East,"['hat', 'shoe']",ProductC,sunglasses,Winter,flats,BrandA,Red,Formal,103
104,Female,43,senior,Athletic,West,"['shirt', 'jacket']",ProductA,bracelet,Winter,flats,BrandD,Red,Formal,104
105,Other,54,middle-aged,Athletic,East,"['pant', 'jacket', 'hat', 'shoe', 'shirt']",ProductC,watch,Autumn,heels,BrandA,White,Elegant,105
106,Male,54,senior,Slim,North,"['shirt', 'pant', 'shoe', 'jacket']",ProductE,watch,Autumn,boots,BrandA,Black,Formal,106
107,Female,66,senior,Average,North,['pant'],ProductA,watch,Spring,sneakers,BrandA,White,Sporty,107
108,Female,45,senior,Slim,South,"['pant', 'hat']",ProductD,sunglasses,Winter,flats,BrandC,White,Formal,108
109,Other,68,middle-aged,Heavy,West,['shirt'],ProductA,watch,Autumn,heels,BrandA,White,Casual,109
110,Male,19,senior,Slim,North,"['hat', 'pant', 'shoe']",ProductD,sunglasses,Autumn,sandals,BrandB,Red,Casual,110
111,Female,38,middle-aged,Athletic,West,['shirt'],ProductC,sunglasses,Winter,sneakers,BrandB,Blue,Formal,111
112,Male,65,senior,Heavy,North,"['jacket', 'pant']",ProductD,necklace,Autumn,flats,BrandC,Blue,Elegant,112
113,Other,41,senior,Heavy,West,"['hat', 'shirt', 'pant', 'shoe']",ProductC,necklace,Autumn,boots,BrandB,Blue,Sporty,113
114,Female,32,young,Average,East,['jacket'],ProductB,bracelet,Autumn,boots,BrandD,Blue,Casual,114
115,Male,25,middle-aged,Heavy,West,"['shoe', 'pant', 'hat', 'shirt', 'jacket']",ProductE,watch,Summer,sandals,BrandA,Red,Elegant,115
116,Male,63,senior,Slim,West,"['pant', 'jacket', 'shoe', 'shirt', 'hat']",ProductD,belt,Spring,sandals,BrandA,Blue,Formal,116
117,Other,29,middle-aged,Athletic,North,['shirt'],ProductC,belt,Spring,sandals,BrandD,Black,Sporty,117
118,Male,51,senior,Athletic,West,"['shirt', 'shoe', 'pant']",ProductC,bracelet,Autumn,heels,BrandB,Black,Sporty,118
119,Male,45,middle-aged,Heavy,East,"['jacket', 'shoe', 'shirt', 'hat']",ProductE,bracelet,Spring,boots,BrandA,Blue,Elegant,119
120,Male,65,middle-aged,Athletic,East,['shoe'],ProductB,bracelet,Summer,flats,BrandB,Black,Formal,120
121,Female,47,middle-aged,Athletic,North,"['shoe', 'shirt', 'hat']",ProductE,belt,Summer,sneakers,BrandC,Red,Formal,121
122,Female,52,senior,Heavy,North,"['pant', 'shoe', 'hat']",ProductE,necklace,Autumn,heels,BrandC,Red,Casual,122
123,Female,53,senior,Average,East,"['hat', 'shirt', 'pant']",ProductC,sunglasses,Autumn,sandals,BrandB,White,Formal,123
124,Female,45,senior,Athletic,South,"['hat', 'pant']",ProductA,necklace,Spring,flats,BrandA,Black,Elegant,124
125,Male,45,middle-aged,Heavy,South,"['pant', 'shirt', 'jacket']",ProductD,necklace,Summer,heels,BrandD,Blue,Casual,125
126,Other,54,senior,Slim,South,['shoe'],ProductA,watch,Winter,boots,BrandB,Black,Formal,126
127,Other,20,middle-aged,Average,North,"['shirt', 'pant', 'hat', 'shoe']",ProductA,bracelet,Spring,sneakers,BrandA,Black,Casual,127
128,Other,57,young,Athletic,North,"['pant', 'hat']",ProductE,bracelet,Winter,boots,BrandD,Black,Formal,128
129,Other,23,senior,Athletic,South,"['hat', 'jacket', 'shoe', 'pant']",ProductC,belt,Autumn,flats,BrandA,Green,Sporty,129
130,Male,37,senior,Athletic,East,"['hat', 'shirt', 'shoe', 'jacket']",ProductD,watch,Spring,sneakers,BrandD,White,Sporty,130
131,Male,29,middle-aged,Average,East,"['shirt', 'shoe', 'jacket', 'pant']",ProductD,sunglasses,Spring,heels,BrandA,Black,Formal,131
132,Other,61,middle-aged,Heavy,West,['jacket'],ProductB,necklace,Summer,sandals,BrandB,Black,Elegant,132
133,Female,25,middle-aged,Average,South,"['hat', 'jacket']",ProductE,necklace,Autumn,heels,BrandC,Blue,Formal,133
134,Other,27,middle-aged,Average,West,"['shirt', 'hat']",ProductA,bracelet,Summer,flats,BrandC,White,Formal,134
135,Male,55,senior,Athletic,North,"['hat', 'jacket']",ProductA,watch,Spring,sneakers,BrandB,Red,Formal,135
136,Other,19,young,Average,West,"['shirt', 'shoe']",ProductB,necklace,Winter,sneakers,BrandB,Blue,Elegant,136
137,Male,21,young,Athletic,East,"['shoe', 'shirt', 'jacket', 'pant']",ProductA,bracelet,Winter,flats,BrandA,Black,Casual,137
138,Other,34,middle-aged,Heavy,West,"['pant', 'shoe', 'jacket', 'shirt', 'hat']",ProductD,sunglasses,Autumn,flats,BrandD,White,Sporty,138
139,Female,29,middle-aged,Athletic,East,"['shirt', 'shoe', 'jacket', 'hat', 'pant']",ProductA,sunglasses,Autumn,boots,BrandB,White,Elegant,139
140,Male,47,senior,Athletic,East,"['shoe', 'shirt', 'jacket']",ProductC,sunglasses,Autumn,boots,BrandD,Blue,Casual,140
141,Male,29,middle-aged,Average,East,['pant'],ProductD,belt,Summer,boots,BrandD,Green,Casual,141
142,Other,38,middle-aged,Average,North,"['pant', 'shirt', 'hat']",ProductE,watch,Autumn,heels,BrandB,White,Elegant,142
143,Other,43,young,Slim,South,"['hat', 'pant', 'jacket']",ProductA,sunglasses,Spring,sandals,BrandD,White,Elegant,143
144,Male,59,senior,Average,North,"['jacket', 'shirt', 'pant']",ProductD,necklace,Winter,flats,BrandC,Blue,Formal,144
145,Male,15,middle-aged,Heavy,West,"['jacket', 'shirt']",ProductD,sunglasses,Autumn,flats,BrandB,Blue,Formal,145
146,Female,65,senior,Athletic,West,['pant'],ProductD,necklace,Summer,sandals,BrandA,White,Elegant,146
147,Other,64,middle-aged,Average,West,['shoe'],ProductE,necklace,Summer,flats,BrandB,Red,Casual,147
148,Male,43,middle-aged,Heavy,East,"['shoe', 'shirt', 'pant']",ProductA,bracelet,Autumn,flats,BrandD,Green,Elegant,148
149,Female,38,senior,Slim,North,"['shirt', 'jacket', 'shoe', 'pant', 'hat']",ProductA,watch,Summer,boots,BrandD,Black,Casual,149
150,Male,33,senior,Slim,West,"['hat', 'shoe']",ProductA,bracelet,Winter,sneakers,BrandC,Blue,Sporty,150
151,Other,30,middle-aged,Slim,East,"['shirt', 'jacket', 'shoe']",ProductC,watch,Summer,sneakers,BrandB,Black,Elegant,151
152,Other,58,senior,Athletic,North,"['hat', 'pant', 'jacket', 'shirt']",ProductE,watch,Winter,heels,BrandB,White,Casual,152
153,Female,35,middle-aged,Athletic,South,"['hat', 'shirt', 'pant', 'shoe', 'jacket']",ProductB,necklace,Spring,flats,BrandA,Blue,Formal,153
154,Female,53,senior,Athletic,North,"['pant', 'shirt', 'shoe', 'jacket']",ProductA,necklace,Spring,boots,BrandA,Red,Formal,154
155,Female,47,middle-aged,Athletic,West,"['shirt', 'shoe', 'jacket', 'pant']",ProductA,bracelet,Autumn,sneakers,BrandA,Red,Formal,155
156,Female,46,middle-aged,Heavy,South,"['hat', 'pant', 'shoe', 'jacket', 'shirt']",ProductB,watch,Winter,sandals,BrandA,Green,Sporty,156
157,Female,23,middle-aged,Athletic,West,"['jacket', 'pant', 'shirt', 'hat']",ProductC,bracelet,Winter,boots,BrandD,White,Formal,157
158,Female,70,middle-aged,Average,South,['shoe'],ProductD,sunglasses,Spring,sandals,BrandA,Blue,Casual,158
159,Male,20,middle-aged,Slim,South,"['pant', 'jacket', 'hat', 'shirt']",ProductD,necklace,Autumn,flats,BrandB,White,Casual,159
160,Other,21,middle-aged,Heavy,East,"['shirt', 'pant']",ProductB,sunglasses,Summer,sandals,BrandA,Blue,Formal,160
161,Other,61,senior,Average,South,"['pant', 'shoe', 'jacket']",ProductA,belt,Summer,boots,BrandD,White,Casual,161
162,Female,53,senior,Slim,East,"['hat', 'pant', 'jacket', 'shoe', 'shirt']",ProductC,watch,Spring,sneakers,BrandB,Blue,Sporty,162
163,Male,32,senior,Athletic,North,"['hat', 'shirt', 'jacket', 'pant']",ProductD,bracelet,Autumn,flats,BrandB,Green,Casual,163
164,Male,41,middle-aged,Athletic,West,"['pant', 'shoe', 'shirt', 'jacket', 'hat']",ProductC,watch,Winter,sandals,BrandA,Green,Sporty,164
165,Female,33,middle-aged,Heavy,South,"['jacket', 'pant', 'hat', 'shoe', 'shirt']",ProductE,watch,Winter,sneakers,BrandC,Red,Elegant,165
166,Male,27,young,Athletic,North,"['shirt', 'jacket']",ProductC,sunglasses,Summer,boots,BrandB,Green,Sporty,166
167,Male,36,middle-aged,Heavy,South,"['jacket', 'pant', 'shirt', 'hat', 'shoe']",ProductA,sunglasses,Summer,sneakers,BrandC,White,Formal,167
168,Female,43,senior,Average,North,['shoe'],ProductA,watch,Winter,heels,BrandB,Red,Formal,168
169,Other,45,middle-aged,Heavy,South,['pant'],ProductC,bracelet,Summer,flats,BrandB,White,Casual,169
170,Male,61,senior,Athletic,East,"['hat', 'shoe']",ProductA,bracelet,Summer,heels,BrandA,Red,Sporty,170
171,Female,63,middle-aged,Average,South,"['hat', 'pant', 'jacket']",ProductB,watch,Summer,boots,BrandD,Blue,Elegant,171
172,Female,42,middle-aged,Slim,West,"['shoe', 'shirt', 'pant', 'hat']",ProductE,sunglasses,Summer,flats,BrandD,Black,Formal,172
173,Female,20,young,Average,West,"['pant', 'jacket', 'shirt']",ProductD,watch,Autumn,flats,BrandA,White,Sporty,173
174,Male,43,middle-aged,Slim,East,"['shirt', 'shoe']",ProductB,necklace,Autumn,sneakers,BrandB,White,Elegant,174
175,Female,28,young,Heavy,West,"['hat', 'shirt']",ProductE,bracelet,Winter,sandals,BrandB,Black,Casual,175
176,Female,41,senior,Heavy,East,"['jacket', 'shirt']",ProductE,belt,Spring,sandals,BrandB,White,Formal,176
177,Female,59,young,Slim,South,"['jacket', 'pant', 'shirt']",ProductA,necklace,Autumn,heels,BrandB,Black,Casual,177
178,Female,57,middle-aged,Average,South,['shirt'],ProductA,necklace,Spring,sandals,BrandA,Black,Sporty,178
179,Male,47,young,Athletic,East,"['shirt', 'shoe', 'hat', 'pant']",ProductA,necklace,Winter,flats,BrandC,Black,Formal,179
180,Other,55,senior,Heavy,North,"['shirt', 'pant', 'shoe', 'jacket']",ProductD,necklace,Spring,sneakers,BrandD,Blue,Formal,180
181,Female,52,senior,Slim,East,['hat'],ProductD,bracelet,Winter,flats,BrandA,Red,Casual,181
182,Female,39,senior,Athletic,South,"['jacket', 'pant']",ProductA,sunglasses,Winter,boots,BrandA,Green,Casual,182
183,Male,27,middle-aged,Athletic,South,"['pant', 'shoe', 'hat', 'shirt']",ProductC,necklace,Summer,sandals,BrandD,Green,Formal,183
184,Other,69,senior,Average,South,"['shoe', 'hat', 'shirt', 'pant', 'jacket']",ProductC,necklace,Spring,sandals,BrandC,Black,Formal,184
185,Female,69,middle-aged,Heavy,West,"['jacket', 'hat', 'shoe', 'pant', 'shirt']",ProductB,sunglasses,Autumn,boots,BrandB,Black,Elegant,185
186,Other,34,young,Heavy,South,['pant'],ProductA,watch,Summer,sneakers,BrandA,Blue,Formal,186
187,Male,16,senior,Heavy,East,"['hat', 'pant', 'shirt', 'shoe']",ProductE,belt,Summer,boots,BrandD,Green,Elegant,187
188,Other,49,young,Average,West,['jacket'],ProductA,watch,Summer,boots,BrandC,Black,Elegant,188
189,Female,52,middle-aged,Athletic,West,['hat'],ProductA,bracelet,Autumn,heels,BrandC,Blue,Formal,189
190,Male,20,senior,Slim,West,['shirt'],ProductD,watch,Autumn,sneakers,BrandB,Red,Elegant,190
191,Other,65,senior,Slim,North,"['pant', 'hat', 'shirt']",ProductD,sunglasses,Summer,heels,BrandB,White,Elegant,191
192,Other,16,middle-aged,Heavy,North,"['jacket', 'pant', 'hat']",ProductE,bracelet,Summer,sneakers,BrandB,Green,Formal,192
193,Male,31,senior,Average,North,['hat'],ProductC,sunglasses,Winter,flats,BrandA,Black,Casual,193
194,Female,35,middle-aged,Average,North,"['shoe', 'hat', 'pant']",ProductE,belt,Summer,heels,BrandC,Red,Formal,194
195,Other,24,senior,Average,East,"['jacket', 'pant', 'shirt']",ProductB,sunglasses,Spring,flats,BrandD,Red,Formal,195
196,Female,47,middle-aged,Athletic,East,['shirt'],ProductE,watch,Spring,flats,BrandB,Blue,Sporty,196
197,Female,38,senior,Slim,South,"['hat', 'shoe', 'pant', 'shirt']",ProductC,watch,Summer,sandals,BrandC,Green,Casual,197
198,Other,41,middle-aged,Heavy,East,"['hat', 'shoe', 'shirt', 'jacket']",ProductC,belt,Winter,sneakers,BrandC,Red,Formal,198
199,Male,51,middle-aged,Slim,East,"['hat', 'shoe', 'pant', 'jacket', 'shirt']",ProductD,watch,Winter,boots,BrandC,Black,Elegant,199
200,Other,68,senior,Heavy,South,"['hat', 'jacket', 'pant']",ProductC,bracelet,Winter,heels,BrandC,Green,Sporty,200
201,Male,23,senior,Athletic,West,['pant'],ProductD,bracelet,Spring,heels,BrandC,Green,Elegant,201
202,Female,50,young,Slim,West,['pant'],ProductE,necklace,Autumn,boots,BrandD,Black,Elegant,202
203,Female,31,senior,Slim,West,['shoe'],ProductC,watch,Spring,boots,BrandA,Green,Elegant,203
204,Male,37,middle-aged,Average,South,"['hat', 'shoe', 'shirt', 'pant']",ProductB,necklace,Spring,flats,BrandC,Black,Sporty,204
205,Male,46,middle-aged,Slim,North,"['hat', 'shoe']",ProductC,sunglasses,Winter,sandals,BrandB,White,Sporty,205
206,Male,17,senior,Average,West,"['pant', 'shoe', 'shirt']",ProductC,bracelet,Autumn,sneakers,BrandD,Blue,Elegant,206
207,Female,26,young,Average,South,"['hat', 'shirt', 'pant', 'jacket']",ProductE,bracelet,Winter,heels,BrandD,White,Formal,207
208,Male,37,middle-aged,Heavy,South,"['jacket', 'shoe', 'hat', 'shirt', 'pant']",ProductD,watch,Winter,boots,BrandD,Blue,Elegant,208
